full_name,short_name,inn,ogrn,postal_address,legal_address,director_last_name,director_first_name,director_middle_name
ООО Солнечный,Солнечный,0987654321,0123456789,ул. Гагарина,ул. Школьная,Смирнов,Иван,Петрович
ООО Звезда,Астра,1234567890,9876543210,ул. Ленина,ул. Гражданская,Козлов,Сергей,Сергеевич
ООО Астра,Ромашки,2468135790,0987654321,ул. Почтовая,ул. Гражданская,Иванов,Михаил,Петрович
ООО Звезда,Луна,0987654321,9876543210,ул. Советская,ул. Рабочая,Козлов,Сергей,Александрович
ООО Солнечный,Звезда,9876543210,0123456789,ул. Советская,ул. Рабочая,Петров,Михаил,Петрович
ООО Солнечный,Ромашки,9876543210,0123456789,ул. Пушкина,ул. Садовая,Сидоров,Сергей,Александрович
ООО Солнечный,Луна,0123456789,9876543210,ул. Советская,ул. Рабочая,Сидоров,Михаил,Петрович
ООО Солнечный,Ромашки,1234567890,1357924680,ул. Пушкина,ул. Юридическая,Сидоров,Александр,Александрович
ООО Звезда,Астра,0123456789,0987654321,ул. Советская,ул. Рабочая,Козлов,Иван,Михайлович
ООО Астра,Звезда,1234567890,9876543210,ул. Советская,ул. Юридическая,Сидоров,Иван,Петрович
ООО Звезда,Луна,1234567890,0123456789,ул. Советская,ул. Садовая,Петров,Михаил,Александрович
ООО Звезда,Астра,0987654321,0987654321,ул. Ленина,ул. Рабочая,Сидоров,Петр,Сергеевич
ООО Астра,Звезда,1234567890,0987654321,ул. Пушкина,ул. Гражданская,Козлов,Сергей,Петрович
ООО Луна,Луна,2468135790,1234567890,ул. Почтовая,ул. Садовая,Петров,Петр,Михайлович
ООО Луна,Астра,0987654321,1234567890,ул. Пушкина,ул. Гражданская,Смирнов,Иван,Михайлович
ООО Звезда,Луна,9876543210,1234567890,ул. Гагарина,ул. Юридическая,Козлов,Петр,Михайлович
ООО Солнечный,Солнечный,1234567890,0123456789,ул. Пушкина,ул. Садовая,Петров,Иван,Александрович
ООО Солнечный,Ромашки,2468135790,0123456789,ул. Советская,ул. Садовая,Смирнов,Михаил,Петрович
ООО Солнечный,Ромашки,1234567890,9876543210,ул. Гагарина,ул. Рабочая,Иванов,Александр,Сергеевич
ООО Солнечный,Луна,2468135790,0123456789,ул. Гагарина,ул. Гражданская,Иванов,Михаил,Иванович
ООО Звезда,Астра,9876543210,1234567890,ул. Гагарина,ул. Рабочая,Сидоров,Петр,Александрович
ООО Астра,Звезда,9876543210,0987654321,ул. Почтовая,ул. Гражданская,Смирнов,Сергей,Петрович
ООО Звезда,Луна,2468135790,0123456789,ул. Пушкина,ул. Гражданская,Смирнов,Сергей,Михайлович
ООО Луна,Солнечный,2468135790,9876543210,ул. Гагарина,ул. Школьная,Иванов,Александр,Александрович
ООО Солнечный,Ромашки,0123456789,1234567890,ул. Гагарина,ул. Гражданская,Смирнов,Петр,Михайлович
ООО Солнечный,Звезда,0123456789,1234567890,ул. Ленина,ул. Рабочая,Сидоров,Михаил,Михайлович
ООО Звезда,Ромашки,1234567890,1357924680,ул. Ленина,ул. Школьная,Смирнов,Петр,Иванович
ООО Звезда,Солнечный,0123456789,1234567890,ул. Ленина,ул. Рабочая,Петров,Александр,Иванович
ООО Ромашки,Луна,0123456789,9876543210,ул. Гагарина,ул. Гражданская,Смирнов,Михаил,Сергеевич
ООО Астра,Солнечный,2468135790,9876543210,ул. Гагарина,ул. Рабочая,Иванов,Александр,Иванович
ООО Солнечный,Ромашки,9876543210,9876543210,ул. Пушкина,ул. Гражданская,Смирнов,Александр,Иванович
ООО Астра,Луна,1234567890,1357924680,ул. Гагарина,ул. Садовая,Петров,Иван,Александрович
ООО Солнечный,Луна,2468135790,0987654321,ул. Пушкина,ул. Гражданская,Козлов,Михаил,Петрович
ООО Солнечный,Астра,0123456789,0987654321,ул. Гагарина,ул. Гражданская,Сидоров,Иван,Михайлович
ООО Ромашки,Звезда,0987654321,0123456789,ул. Гагарина,ул. Садовая,Смирнов,Александр,Сергеевич
ООО Астра,Астра,1234567890,0123456789,ул. Гагарина,ул. Школьная,Смирнов,Иван,Петрович
ООО Астра,Солнечный,0987654321,1357924680,ул. Ленина,ул. Садовая,Петров,Петр,Сергеевич
ООО Звезда,Астра,1234567890,1357924680,ул. Гагарина,ул. Гражданская,Сидоров,Александр,Михайлович
ООО Звезда,Солнечный,0123456789,0987654321,ул. Почтовая,ул. Гражданская,Сидоров,Сергей,Сергеевич
ООО Астра,Солнечный,1234567890,9876543210,ул. Ленина,ул. Юридическая,Иванов,Сергей,Михайлович
ООО Солнечный,Астра,0123456789,1357924680,ул. Советская,ул. Садовая,Смирнов,Иван,Петрович
ООО Солнечный,Луна,9876543210,0987654321,ул. Ленина,ул. Школьная,Смирнов,Александр,Михайлович
ООО Солнечный,Звезда,9876543210,0987654321,ул. Ленина,ул. Садовая,Смирнов,Михаил,Михайлович
ООО Луна,Астра,0987654321,1234567890,ул. Пушкина,ул. Садовая,Козлов,Иван,Петрович
ООО Ромашки,Солнечный,0987654321,1357924680,ул. Ленина,ул. Садовая,Иванов,Иван,Иванович
ООО Луна,Звезда,1234567890,1357924680,ул. Советская,ул. Гражданская,Козлов,Александр,Александрович
ООО Звезда,Луна,0123456789,1234567890,ул. Пушкина,ул. Садовая,Петров,Петр,Иванович
ООО Луна,Солнечный,0987654321,9876543210,ул. Советская,ул. Рабочая,Сидоров,Сергей,Михайлович
ООО Звезда,Астра,0123456789,0123456789,ул. Ленина,ул. Садовая,Смирнов,Александр,Петрович
ООО Звезда,Звезда,1234567890,1234567890,ул. Советская,ул. Гражданская,Козлов,Петр,Михайлович
